league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
ENG-Premier League,2025-26,Bournemouth,Bafodé Diakité,FRA,DF,24-237,2001,3.0,154,14,67,84,3,1,154,0,0,,0,,49,215,120,0,1,0,2,0,76,1
ENG-Premier League,2025-26,Bournemouth,Ben Winterburn,ENG,MF,20-361,2004,0.1,2,1,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2025-26,Bournemouth,David Brooks,WAL,"MF,FW",28-054,1997,2.3,97,1,12,31,57,14,97,7,4,57.1,3,42.9,47,284,198,5,5,2,5,3,65,18
ENG-Premier League,2025-26,Bournemouth,Eli Junior Kroupi,FRA,"FW,MF",19-069,2006,0.2,5,1,1,1,3,1,5,1,0,0.0,1,100.0,2,18,12,1,0,1,0,0,1,0
ENG-Premier League,2025-26,Bournemouth,Evanilson,BRA,FW,25-329,1999,2.9,69,3,7,32,30,12,69,3,0,0.0,1,33.3,28,151,66,2,1,1,1,1,49,10
ENG-Premier League,2025-26,Bournemouth,Hamed Junior Traorè,CIV,MF,25-196,2000,0.2,7,1,6,0,1,0,7,1,0,0.0,1,100.0,1,2,0,0,0,0,0,0,0,0
ENG-Premier League,2025-26,Bournemouth,James Hill,ENG,DF,23-233,2002,0.8,46,2,20,21,6,2,46,0,0,,0,,4,12,9,0,0,0,1,0,11,1
ENG-Premier League,2025-26,Bournemouth,Justin Kluivert,NED,MF,26-118,1999,0.3,24,0,1,10,13,3,24,3,0,0.0,3,100.0,7,21,7,0,0,0,1,0,11,1
ENG-Premier League,2025-26,Bournemouth,Marcos Senesi,ARG,DF,28-113,1997,3.0,177,30,89,76,13,3,177,0,0,,0,,76,329,195,0,0,0,2,0,91,0
ENG-Premier League,2025-26,Bournemouth,Marcus Tavernier,ENG,MF,26-162,1999,2.7,135,4,24,50,64,15,135,11,5,45.5,5,45.5,59,300,118,5,2,1,3,6,84,17
ENG-Premier League,2025-26,Bournemouth,Ryan Christie,SCO,MF,30-190,1995,0.6,47,2,11,25,11,2,47,2,0,0.0,2,100.0,22,125,74,2,0,1,1,0,28,0
ENG-Premier League,2025-26,Bournemouth,Tyler Adams,USA,MF,26-198,1999,3.0,155,13,49,88,19,3,155,4,2,50.0,1,25.0,58,251,124,0,2,0,3,0,73,2
ENG-Premier League,2025-26,Bournemouth,Đorđe Petrović,SRB,GK,25-327,1999,3.0,108,78,108,0,0,0,108,0,0,,0,,59,295,192,0,0,0,0,0,52,0
