league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
ITA-Serie A,2023-24,Napoli,Pierluigi Gollini,ITA,GK,28,1995,7,7,630,7.0,8,1.14,24,16,66.7,3,1,3,1,14.3,0,0,0,0,
ITA-Serie A,2023-24,Roma,Mile Svilar,SRB,GK,23,1999,15,15,1350,15.0,19,1.27,77,58,76.6,7,4,4,5,33.3,2,1,1,0,50.0
ITA-Serie A,2023-24,Roma,Rui Patrício,POR,GK,35,1988,23,23,2070,23.0,27,1.17,74,49,66.2,11,5,7,6,26.1,3,2,0,1,0.0
ITA-Serie A,2023-24,Salernitana,Benoît Costil,FRA,GK,36,1987,13,13,1170,13.0,29,2.23,66,38,60.6,2,3,8,1,7.7,3,3,0,0,0.0
ITA-Serie A,2023-24,Salernitana,Guillermo Ochoa,MEX,GK,38,1985,21,21,1890,21.0,44,2.1,115,72,67.8,0,6,15,1,4.8,7,7,0,0,0.0
ITA-Serie A,2023-24,Salernitana,Vincenzo Fiorillo,ITA,GK,33,1990,4,4,360,4.0,8,2.0,26,18,69.2,0,2,2,0,0.0,0,0,0,0,
ITA-Serie A,2023-24,Sassuolo,Alessio Cragno,ITA,GK,29,1994,3,3,270,3.0,7,2.33,14,8,57.1,1,1,1,0,0.0,1,1,0,0,0.0
ITA-Serie A,2023-24,Sassuolo,Andrea Consigli,ITA,GK,36,1987,35,35,3150,35.0,68,1.94,159,93,61.6,6,8,21,3,8.6,10,7,1,2,12.5
ITA-Serie A,2023-24,Torino,Luca Gemello,ITA,GK,23,2000,2,2,180,2.0,5,2.5,9,4,55.6,0,0,2,0,0.0,1,1,0,0,0.0
ITA-Serie A,2023-24,Torino,Vanja Milinković-Savić,SRB,GK,26,1997,36,36,3240,36.0,31,0.86,134,103,81.3,13,14,9,18,50.0,6,6,0,0,0.0
ITA-Serie A,2023-24,Udinese,Maduka Okoye,NGA,GK,23,1999,21,21,1890,21.0,25,1.19,89,65,75.3,5,8,8,5,23.8,3,3,0,0,0.0
ITA-Serie A,2023-24,Udinese,Marco Silvestri,ITA,GK,32,1991,17,17,1530,17.0,28,1.65,68,40,67.6,1,11,5,4,23.5,6,6,0,0,0.0
