league,season,team,player,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
ENG-Premier League,2023-24,Burnley,Benson Manuel,ANG,"MF,FW",26,1997,1.3,59,52,6,0,0,0,9,2,4,0,1,0,48,1,3
ENG-Premier League,2023-24,Burnley,Charlie Taylor,ENG,DF,29,1993,25.9,1312,1099,206,14,0,7,71,192,0,0,0,0,995,7,28
ENG-Premier League,2023-24,Burnley,Connor Roberts,WAL,DF,27,1995,9.1,495,406,87,13,0,2,10,74,0,0,0,0,395,2,9
ENG-Premier League,2023-24,Burnley,Dara O'Shea,IRL,DF,24,1999,32.1,1759,1705,47,34,3,10,11,9,0,0,0,0,1393,7,19
ENG-Premier League,2023-24,Burnley,David Datro Fofana,CIV,FW,20,2002,9.8,173,167,4,0,1,0,3,0,0,0,0,0,117,2,8
ENG-Premier League,2023-24,Burnley,Han-Noah Massengo,FRA,"MF,DF",22,2001,0.2,12,11,1,0,0,0,2,1,0,0,0,0,6,0,1
ENG-Premier League,2023-24,Burnley,Hannes Delcroix,BEL,DF,24,1999,6.5,350,320,29,3,0,0,5,26,0,0,0,0,300,1,2
ENG-Premier League,2023-24,Burnley,Hjalmar Ekdal,SWE,DF,24,1998,4.9,217,213,4,4,0,2,0,0,0,0,0,0,191,0,1
ENG-Premier League,2023-24,Burnley,Jack Cork,ENG,MF,34,1989,0.3,33,31,2,2,0,0,1,0,0,0,0,0,25,0,2
ENG-Premier League,2023-24,Burnley,Jacob Bruun Larsen,DEN,"MF,FW",24,1998,13.9,526,455,69,15,1,3,62,5,46,14,17,2,378,2,18
ENG-Premier League,2023-24,Burnley,James Trafford,ENG,GK,20,2002,28.0,1541,1203,327,129,1,5,0,0,0,0,0,0,1009,11,5
ENG-Premier League,2023-24,Burnley,Jay Rodriguez,ENG,FW,34,1989,9.1,216,216,0,0,1,4,1,0,0,0,0,0,142,0,4
ENG-Premier League,2023-24,Burnley,Jordan Beyer,GER,DF,23,2000,13.7,861,840,19,14,1,5,0,4,0,0,0,0,766,2,9
ENG-Premier League,2023-24,Burnley,Josh Brownhill,ENG,MF,27,1995,25.0,1106,998,103,29,4,3,57,16,50,23,8,2,850,5,18
ENG-Premier League,2023-24,Burnley,Josh Cullen,IRL,MF,27,1996,22.9,1373,1311,57,42,5,2,26,1,14,5,6,0,1173,5,19
ENG-Premier League,2023-24,Burnley,Jóhann Berg Guðmundsson,ISL,"MF,FW",32,1990,13.2,544,465,77,28,4,5,70,7,39,18,12,5,396,2,14
ENG-Premier League,2023-24,Burnley,Lorenz Assignon,TOG,DF,23,2000,13.7,485,378,104,3,0,0,29,101,0,0,0,0,352,3,19
ENG-Premier League,2023-24,Burnley,Luca Koleosho,ITA,"MF,FW",18,2004,10.8,274,267,6,2,0,0,23,4,0,0,0,0,192,1,16
ENG-Premier League,2023-24,Burnley,Lyle Foster,RSA,"FW,MF",22,2000,21.1,461,430,29,2,3,5,3,4,0,0,0,0,312,2,16
ENG-Premier League,2023-24,Burnley,Maxime Estève,FRA,DF,21,2002,14.5,821,754,66,13,1,3,5,5,0,0,0,0,690,1,10
ENG-Premier League,2023-24,Burnley,Michael Obafemi,IRL,"FW,MF",23,2000,0.2,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
ENG-Premier League,2023-24,Burnley,Mike Trésor,BEL,"FW,MF",24,1999,4.7,180,156,24,3,0,0,32,2,19,5,11,0,120,0,9
ENG-Premier League,2023-24,Burnley,Nathan Redmond,ENG,"FW,MF",29,1994,1.6,73,71,0,0,0,1,3,0,0,0,0,0,48,2,1
ENG-Premier League,2023-24,Burnley,Sander Berge,NOR,MF,25,1998,33.4,1562,1529,31,21,7,10,12,1,0,0,0,0,1376,2,14
ENG-Premier League,2023-24,Burnley,Vitinho,BRA,"DF,MF",24,1999,25.7,994,804,186,8,4,1,56,178,0,0,0,0,715,4,28
ENG-Premier League,2023-24,Burnley,Wilson Odobert,FRA,"MF,FW",18,2004,23.3,584,567,15,0,3,2,35,2,1,0,1,0,446,2,33
ENG-Premier League,2023-24,Burnley,Zeki Amdouni,SUI,FW,22,2000,21.7,500,445,51,2,7,1,8,0,3,0,0,0,396,4,19
ENG-Premier League,2023-24,Chelsea,Alex Matos,ENG,MF,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
