league,season,team,player,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
ENG-Premier League,2023-24,Arsenal,Reiss Nelson,ENG,FW,23,1999,3.0,0,4,1,25.0,1.34,0.34,0.0,0.0,19.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2
ENG-Premier League,2023-24,Arsenal,Takehiro Tomiyasu,JPN,DF,24,1998,12.8,2,17,3,17.6,1.33,0.23,0.12,0.67,14.9,0,0,0,1.5,1.5,0.09,0.5,0.5
ENG-Premier League,2023-24,Arsenal,Thomas Partey,GHA,"MF,DF",30,1993,8.8,0,8,2,25.0,0.91,0.23,0.0,0.0,20.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4
ENG-Premier League,2023-24,Arsenal,William Saliba,FRA,DF,22,2001,38.0,2,10,3,30.0,0.26,0.08,0.2,0.67,10.5,0,0,0,1.6,1.6,0.16,0.4,0.4
ENG-Premier League,2023-24,Aston Villa,Bertrand Traoré,BFA,"DF,FW",27,1995,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Aston Villa,Boubacar Kamara,FRA,MF,23,1999,18.4,0,5,1,20.0,0.27,0.05,0.0,0.0,16.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,2023-24,Aston Villa,Calum Chambers,ENG,"MF,DF",28,1995,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Aston Villa,Cameron Archer,ENG,MF,22,2001,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Aston Villa,Clément Lenglet,FRA,DF,28,1995,12.8,0,8,2,25.0,0.62,0.16,0.0,0.0,10.5,0,0,0,0.9,0.9,0.11,-0.9,-0.9
ENG-Premier League,2023-24,Aston Villa,Diego Carlos,BRA,DF,30,1993,20.2,0,10,1,10.0,0.5,0.05,0.0,0.0,9.1,0,0,0,1.9,1.9,0.19,-1.9,-1.9
ENG-Premier League,2023-24,Aston Villa,Douglas Luiz,BRA,MF,25,1998,33.3,9,44,13,29.5,1.32,0.39,0.11,0.38,23.3,5,4,4,6.9,3.8,0.09,2.1,1.2
ENG-Premier League,2023-24,Aston Villa,Emiliano Martínez,ARG,GK,30,1992,33.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Aston Villa,Ezri Konsa,ENG,DF,25,1997,34.1,1,19,5,26.3,0.56,0.15,0.05,0.2,12.2,0,0,0,2.5,2.5,0.13,-1.5,-1.5
ENG-Premier League,2023-24,Aston Villa,Finley Munroe,ENG,MF,18,2005,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Aston Villa,Jacob Ramsey,ENG,"FW,MF",22,2001,9.5,1,19,4,21.1,2.0,0.42,0.05,0.25,15.9,0,0,0,2.2,2.2,0.11,-1.2,-1.2
ENG-Premier League,2023-24,Aston Villa,Jaden Philogene Bidace,ENG,FW,21,2002,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Aston Villa,John McGinn,SCO,"MF,FW",28,1994,33.3,6,40,14,35.0,1.2,0.42,0.15,0.43,19.5,3,0,0,5.0,5.0,0.12,1.0,1.0
ENG-Premier League,2023-24,Aston Villa,Jáder Durán,COL,"FW,MF",19,2003,5.3,5,20,7,35.0,3.79,1.33,0.25,0.71,16.8,0,0,0,2.0,2.0,0.1,3.0,3.0
ENG-Premier League,2023-24,Aston Villa,Kaine Kesler-Hayden,ENG,"MF,DF",20,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Aston Villa,Leander Dendoncker,BEL,MF,28,1995,1.3,1,2,1,50.0,1.51,0.76,0.5,1.0,12.5,0,0,0,0.7,0.7,0.37,0.3,0.3
ENG-Premier League,2023-24,Aston Villa,Leon Bailey,JAM,"MF,FW",25,1997,23.0,10,53,18,34.0,2.31,0.78,0.19,0.56,16.1,1,0,0,6.3,6.3,0.12,3.7,3.7
ENG-Premier League,2023-24,Aston Villa,Lucas Digne,FRA,DF,30,1993,26.8,1,20,4,20.0,0.75,0.15,0.05,0.25,20.0,6,0,0,1.1,1.1,0.05,-0.1,-0.1
ENG-Premier League,2023-24,Aston Villa,Matty Cash,POL,DF,25,1997,23.8,2,33,13,39.4,1.39,0.55,0.06,0.15,16.2,0,0,0,4.2,4.2,0.13,-2.2,-2.2
ENG-Premier League,2023-24,Aston Villa,Morgan Rogers,ENG,"MF,FW",21,2002,7.1,3,11,5,45.5,1.55,0.71,0.27,0.6,14.8,0,0,0,1.4,1.4,0.12,1.6,1.6
ENG-Premier League,2023-24,Aston Villa,Moussa Diaby,FRA,"FW,MF",24,1999,24.2,6,54,22,40.7,2.24,0.91,0.11,0.27,15.9,0,0,0,7.0,7.0,0.13,-1.0,-1.0
ENG-Premier League,2023-24,Aston Villa,Nicolò Zaniolo,ITA,"FW,MF",24,1999,9.3,2,27,10,37.0,2.9,1.07,0.07,0.2,14.0,0,0,0,2.6,2.6,0.09,-0.6,-0.6
ENG-Premier League,2023-24,Aston Villa,Ollie Watkins,ENG,FW,27,1995,35.7,19,107,47,43.9,2.99,1.31,0.18,0.4,12.8,0,0,0,16.8,16.8,0.16,2.2,2.2
ENG-Premier League,2023-24,Aston Villa,Omari Kellyman,ENG,FW,17,2005,0.4,0,1,0,0.0,2.43,0.0,0.0,,20.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ENG-Premier League,2023-24,Aston Villa,Pau Torres,ESP,DF,26,1997,27.4,2,12,5,41.7,0.44,0.18,0.17,0.4,15.4,0,0,0,1.0,1.0,0.08,1.0,1.0
ENG-Premier League,2023-24,Aston Villa,Philippe Coutinho,BRA,"MF,FW",31,1992,0.3,0,3,1,33.3,10.8,3.6,0.0,0.0,24.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1
ENG-Premier League,2023-24,Aston Villa,Robin Olsen,SWE,GK,33,1990,4.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Aston Villa,Tim Iroegbunam,ENG,MF,20,2003,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Aston Villa,Tyrone Mings,ENG,DF,30,1993,0.3,0,1,0,0.0,3.0,0.0,0.0,,18.4,0,0,0,0.0,0.0,0.01,0.0,0.0
ENG-Premier League,2023-24,Aston Villa,Youri Tielemans,BEL,"MF,FW",26,1997,18.0,2,14,5,35.7,0.78,0.28,0.14,0.4,20.0,0,0,0,1.3,1.3,0.09,0.7,0.7
ENG-Premier League,2023-24,Aston Villa,Álex Moreno,ESP,DF,30,1993,11.5,2,8,4,50.0,0.7,0.35,0.25,0.5,12.3,0,0,0,1.1,1.1,0.14,0.9,0.9
ENG-Premier League,2023-24,Bournemouth,Adam Smith,ENG,DF,32,1991,23.9,0,2,0,0.0,0.08,0.0,0.0,,26.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,2023-24,Bournemouth,Alex Scott,ENG,MF,19,2003,11.3,1,15,3,20.0,1.33,0.27,0.07,0.33,22.8,2,0,0,0.7,0.7,0.05,0.3,0.3
ENG-Premier League,2023-24,Bournemouth,Antoine Semenyo,GHA,FW,23,2000,23.4,8,70,30,42.9,2.99,1.28,0.11,0.27,17.8,0,0,0,4.6,4.6,0.07,3.4,3.4
ENG-Premier League,2023-24,Bournemouth,Chris Mepham,WAL,DF,25,1997,6.9,0,1,1,100.0,0.15,0.15,0.0,0.0,8.8,0,0,0,0.1,0.1,0.09,-0.1,-0.1
ENG-Premier League,2023-24,Bournemouth,Dango Ouattara,BFA,"FW,DF",21,2002,13.7,1,30,7,23.3,2.2,0.51,0.03,0.14,15.2,0,0,0,2.6,2.6,0.09,-1.6,-1.6
ENG-Premier League,2023-24,Bournemouth,David Brooks,WAL,"FW,MF",26,1997,3.1,1,13,5,38.5,4.15,1.6,0.08,0.2,17.4,0,0,0,2.2,2.2,0.17,-1.2,-1.2
ENG-Premier League,2023-24,Bournemouth,Dominic Sadi,ENG,FW,19,2003,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Bournemouth,Dominic Solanke,ENG,FW,25,1997,36.9,19,106,35,33.0,2.87,0.95,0.16,0.49,12.2,0,2,3,19.6,17.2,0.16,-0.6,-0.2
ENG-Premier League,2023-24,Bournemouth,Enes Ünal,TUR,"FW,MF",26,1997,3.6,2,23,8,34.8,6.31,2.2,0.09,0.25,12.5,2,0,0,2.9,2.9,0.13,-0.9,-0.9
ENG-Premier League,2023-24,Bournemouth,Hamed Junior Traorè,CIV,MF,23,2000,0.5,0,3,2,66.7,5.74,3.83,0.0,0.0,25.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2
ENG-Premier League,2023-24,Bournemouth,Illia Zabarnyi,UKR,DF,20,2002,37.0,1,8,2,25.0,0.22,0.05,0.13,0.5,7.5,0,0,0,1.1,1.1,0.14,-0.1,-0.1
ENG-Premier League,2023-24,Bournemouth,Ionuț Radu,ROU,GK,26,1997,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Bournemouth,Jaidon Anthony,ENG,FW,23,1999,1.7,0,2,1,50.0,1.18,0.59,0.0,0.0,24.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,2023-24,Bournemouth,James Hill,ENG,DF,21,2002,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Bournemouth,Joe Rothwell,ENG,MF,28,1995,4.3,0,2,0,0.0,0.47,0.0,0.0,,22.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
ENG-Premier League,2023-24,Bournemouth,Justin Kluivert,NED,"MF,FW",24,1999,21.3,7,56,20,35.7,2.63,0.94,0.13,0.35,17.4,3,0,0,6.2,6.2,0.11,0.8,0.8
ENG-Premier League,2023-24,Bournemouth,Kieffer Moore,WAL,"FW,MF",30,1992,1.2,1,6,2,33.3,5.0,1.67,0.17,0.5,12.5,0,0,0,1.5,1.5,0.25,-0.5,-0.5
ENG-Premier League,2023-24,Bournemouth,Lewis Cook,ENG,MF,26,1997,31.0,0,12,4,33.3,0.39,0.13,0.0,0.0,24.0,0,0,0,0.4,0.4,0.03,-0.4,-0.4
ENG-Premier League,2023-24,Bournemouth,Lloyd Kelly,ENG,DF,24,1998,17.3,0,4,1,25.0,0.23,0.06,0.0,0.0,8.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3
ENG-Premier League,2023-24,Bournemouth,Luis Sinisterra,COL,"FW,MF",24,1999,7.8,2,27,8,29.6,3.48,1.03,0.07,0.25,13.9,0,0,0,2.5,2.5,0.09,-0.5,-0.5
ENG-Premier League,2023-24,Bournemouth,Marcos Senesi,ARG,DF,26,1997,24.9,4,13,4,30.8,0.52,0.16,0.31,1.0,12.3,0,0,0,2.0,2.0,0.16,2.0,2.0
ENG-Premier League,2023-24,Bournemouth,Marcus Tavernier,ENG,FW,24,1999,23.5,3,53,16,30.2,2.25,0.68,0.06,0.19,20.0,4,0,0,3.9,3.9,0.07,-0.9,-0.9
ENG-Premier League,2023-24,Bournemouth,Mark Travers,IRL,GK,24,1999,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Bournemouth,Max Aarons,ENG,DF,23,2000,13.7,0,2,0,0.0,0.15,0.0,0.0,,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0
ENG-Premier League,2023-24,Bournemouth,Milos Kerkez,HUN,DF,19,2003,21.9,0,16,5,31.3,0.73,0.23,0.0,0.0,19.3,0,0,0,1.2,1.2,0.08,-1.2,-1.2
ENG-Premier League,2023-24,Bournemouth,Neto,BRA,GK,34,1989,32.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Bournemouth,Philip Billing,DEN,MF,27,1996,15.5,2,30,8,26.7,1.93,0.52,0.07,0.25,20.6,7,0,0,2.5,2.5,0.08,-0.5,-0.5
ENG-Premier League,2023-24,Bournemouth,Romain Faivre,FRA,"MF,FW",25,1998,0.5,0,2,0,0.0,4.39,0.0,0.0,,17.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2
ENG-Premier League,2023-24,Bournemouth,Ryan Christie,SCO,MF,28,1995,32.3,0,43,13,30.2,1.33,0.4,0.0,0.0,20.0,0,0,0,2.3,2.3,0.05,-2.3,-2.3
ENG-Premier League,2023-24,Bournemouth,Tyler Adams,USA,MF,24,1999,1.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Brentford,Aaron Hickey,SCO,DF,21,2002,7.9,0,7,1,14.3,0.88,0.13,0.0,0.0,25.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2
ENG-Premier League,2023-24,Brentford,Ben Mee,ENG,DF,33,1989,14.1,2,10,2,20.0,0.71,0.14,0.2,1.0,12.7,0,0,0,1.5,1.5,0.15,0.5,0.5
ENG-Premier League,2023-24,Brentford,Bryan Mbeumo,CMR,FW,23,1999,21.8,9,50,16,32.0,2.3,0.73,0.12,0.38,17.1,4,3,3,9.8,7.4,0.15,-0.8,-1.4
ENG-Premier League,2023-24,Brentford,Christian Nørgaard,DEN,MF,29,1994,27.8,2,35,7,20.0,1.26,0.25,0.06,0.29,14.4,0,0,0,3.5,3.5,0.1,-1.5,-1.5
ENG-Premier League,2023-24,Brentford,Ethan Pinnock,JAM,DF,30,1993,28.0,2,19,4,21.1,0.68,0.14,0.11,0.5,9.8,0,0,0,2.0,2.0,0.11,0.0,0.0
ENG-Premier League,2023-24,Brentford,Frank Onyeka,NGA,MF,25,1998,12.9,1,22,9,40.9,1.71,0.7,0.05,0.11,17.4,0,0,0,2.2,2.2,0.1,-1.2,-1.2
ENG-Premier League,2023-24,Brentford,Ivan Toney,ENG,FW,27,1996,16.1,4,51,21,41.2,3.17,1.3,0.08,0.19,17.4,8,0,0,6.0,6.0,0.12,-2.0,-2.0
ENG-Premier League,2023-24,Brentford,Josh Dasilva,ENG,"DF,FW",24,1998,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Brentford,Keane Lewis-Potter,ENG,"FW,DF",22,2001,16.0,3,43,20,46.5,2.69,1.25,0.07,0.15,12.8,0,0,0,6.3,6.3,0.15,-3.3,-3.3
ENG-Premier League,2023-24,Brentford,Kevin Schade,GER,"FW,MF",21,2001,3.7,2,8,4,50.0,2.16,1.08,0.25,0.5,15.8,0,0,0,1.2,1.2,0.15,0.8,0.8
ENG-Premier League,2023-24,Brentford,Kristoffer Ajer,NOR,DF,25,1998,20.4,2,12,4,33.3,0.59,0.2,0.17,0.5,9.9,0,0,0,1.3,1.3,0.11,0.7,0.7
ENG-Premier League,2023-24,Brentford,Mads Roerslev,DEN,DF,24,1999,22.1,1,7,1,14.3,0.32,0.05,0.14,1.0,14.3,0,0,0,0.9,0.9,0.14,0.1,0.1
ENG-Premier League,2023-24,Brentford,Mark Flekken,NED,GK,30,1993,36.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Brentford,Mathias Jensen,DEN,MF,27,1996,24.5,3,14,7,50.0,0.57,0.29,0.21,0.43,26.7,3,0,0,0.7,0.7,0.05,2.3,2.3
ENG-Premier League,2023-24,Brentford,Mathias Jørgensen,DEN,DF,33,1990,12.1,1,8,2,25.0,0.66,0.17,0.13,0.5,14.2,0,0,0,0.7,0.7,0.09,0.3,0.3
ENG-Premier League,2023-24,Brentford,Michael Olakigbe,ENG,"DF,FW",19,2004,0.7,0,3,0,0.0,4.58,0.0,0.0,,20.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
ENG-Premier League,2023-24,Brentford,Mikkel Damsgaard,DEN,MF,23,2000,9.4,0,9,4,44.4,0.96,0.43,0.0,0.0,18.0,1,0,0,0.9,0.9,0.1,-0.9,-0.9
ENG-Premier League,2023-24,Brentford,Myles Peart-Harris,ENG,"DF,MF",20,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Brentford,Nathan Collins,IRL,DF,22,2001,29.5,1,10,2,20.0,0.34,0.07,0.1,0.5,9.9,0,0,0,1.7,1.7,0.17,-0.7,-0.7
ENG-Premier League,2023-24,Brentford,Neal Maupay,FRA,FW,26,1996,14.7,6,37,14,37.8,2.52,0.95,0.16,0.43,15.3,1,0,0,5.7,5.7,0.16,0.3,0.3
ENG-Premier League,2023-24,Brentford,Rico Henry,ENG,DF,26,1997,4.5,0,2,0,0.0,0.45,0.0,0.0,,19.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
ENG-Premier League,2023-24,Brentford,Saman Ghoddos,IRN,DF,29,1993,8.2,1,9,2,22.2,1.1,0.24,0.11,0.5,22.5,0,0,0,0.3,0.3,0.03,0.7,0.7
ENG-Premier League,2023-24,Brentford,Sergio Reguilón,ESP,DF,26,1996,12.4,0,13,1,7.7,1.05,0.08,0.0,0.0,18.2,0,0,0,0.8,0.8,0.06,-0.8,-0.8
ENG-Premier League,2023-24,Brentford,Shandon Baptiste,GRN,MF,25,1998,2.5,1,2,2,100.0,0.79,0.79,0.5,0.5,6.6,0,0,0,0.9,0.9,0.45,0.1,0.1
ENG-Premier League,2023-24,Brentford,Thomas Strakosha,ALB,GK,28,1995,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Brentford,Vitaly Janelt,GER,"MF,DF",25,1998,33.9,1,21,7,33.3,0.62,0.21,0.05,0.14,18.0,0,0,0,1.8,1.8,0.08,-0.8,-0.8
ENG-Premier League,2023-24,Brentford,Yehor Yarmoliuk,UKR,MF,19,2004,7.6,0,11,5,45.5,1.44,0.65,0.0,0.0,18.9,0,0,0,1.0,1.0,0.09,-1.0,-1.0
ENG-Premier League,2023-24,Brentford,Yoane Wissa,COD,FW,26,1996,27.7,12,67,24,35.8,2.42,0.87,0.18,0.5,12.9,0,0,0,10.6,10.6,0.16,1.4,1.4
ENG-Premier League,2023-24,Brighton,Adam Lallana,ENG,"MF,FW",35,1988,9.4,0,11,2,18.2,1.16,0.21,0.0,0.0,17.8,0,0,0,0.8,0.8,0.08,-0.8,-0.8
ENG-Premier League,2023-24,Brighton,Adam Webster,ENG,DF,28,1995,12.7,0,8,0,0.0,0.63,0.0,0.0,,9.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4
ENG-Premier League,2023-24,Brighton,Ansu Fati,ESP,"MF,FW",20,2002,5.8,2,26,11,42.3,4.49,1.9,0.08,0.18,14.6,0,0,0,3.4,3.4,0.13,-1.4,-1.4
ENG-Premier League,2023-24,Brighton,Bart Verbruggen,NED,GK,20,2002,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Brighton,Benicio Boaitey,ENG,"FW,DF",19,2004,0.4,0,1,0,0.0,2.25,0.0,0.0,,25.2,0,0,0,0.0,0.0,0.02,0.0,0.0
ENG-Premier League,2023-24,Brighton,Billy Gilmour,SCO,MF,22,2001,23.6,0,25,5,20.0,1.06,0.21,0.0,0.0,25.4,0,0,0,1.0,1.0,0.04,-1.0,-1.0
ENG-Premier League,2023-24,Brighton,Carlos Baleba,CMR,MF,19,2004,14.7,0,21,5,23.8,1.43,0.34,0.0,0.0,24.4,0,0,0,0.8,0.8,0.04,-0.8,-0.8
ENG-Premier League,2023-24,Brighton,Danny Welbeck,ENG,"FW,MF",32,1990,18.8,5,41,16,39.0,2.18,0.85,0.12,0.31,14.5,1,0,0,5.3,5.3,0.13,-0.3,-0.3
ENG-Premier League,2023-24,Brighton,Evan Ferguson,IRL,FW,18,2004,15.2,6,33,20,60.6,2.17,1.32,0.18,0.3,15.5,0,0,0,4.6,4.6,0.14,1.4,1.4
ENG-Premier League,2023-24,Brighton,Facundo Buonanotte,ARG,"FW,MF",18,2004,15.2,3,21,8,38.1,1.39,0.53,0.14,0.38,16.8,0,0,0,2.4,2.4,0.11,0.6,0.6
ENG-Premier League,2023-24,Brighton,Igor,BRA,DF,25,1998,18.2,0,5,0,0.0,0.27,0.0,0.0,,21.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3
ENG-Premier League,2023-24,Brighton,Jack Hinshelwood,ENG,DF,18,2005,9.7,3,14,8,57.1,1.45,0.83,0.21,0.38,9.2,0,0,0,1.9,1.9,0.14,1.1,1.1
ENG-Premier League,2023-24,Brighton,Jakub Moder,POL,"MF,DF",24,1999,6.9,0,11,3,27.3,1.6,0.44,0.0,0.0,17.8,1,0,0,0.6,0.6,0.05,-0.6,-0.6
ENG-Premier League,2023-24,Brighton,James Milner,ENG,"DF,MF",37,1986,8.6,0,5,1,20.0,0.58,0.12,0.0,0.0,17.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3
ENG-Premier League,2023-24,Brighton,Jan Paul van Hecke,NED,DF,23,2000,26.3,0,15,6,40.0,0.57,0.23,0.0,0.0,11.3,0,0,0,1.2,1.2,0.08,-1.2,-1.2
ENG-Premier League,2023-24,Brighton,Jason Steele,ENG,GK,32,1990,17.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2023-24,Brighton,João Pedro,BRA,"FW,MF",21,2001,22.7,9,70,20,28.6,3.08,0.88,0.07,0.25,14.4,0,4,5,11.9,7.9,0.11,-2.9,-2.9
ENG-Premier League,2023-24,Brighton,Joël Veltman,NED,DF,31,1992,17.6,1,5,3,60.0,0.28,0.17,0.2,0.33,14.2,0,0,0,0.4,0.4,0.08,0.6,0.6
ENG-Premier League,2023-24,Brighton,Julio Enciso,PAR,"MF,FW",19,2004,5.3,0,28,8,28.6,5.31,1.52,0.0,0.0,21.2,0,0,0,1.4,1.4,0.05,-1.4,-1.4
ENG-Premier League,2023-24,Brighton,Kaoru Mitoma,JPN,FW,26,1997,16.5,3,34,15,44.1,2.06,0.91,0.09,0.2,13.2,0,0,0,3.5,3.5,0.1,-0.5,-0.5
ENG-Premier League,2023-24,Brighton,Lewis Dunk,ENG,DF,31,1991,31.9,3,33,12,36.4,1.04,0.38,0.09,0.25,13.4,4,0,0,3.1,3.1,0.09,-0.1,-0.1
ENG-Premier League,2023-24,Brighton,Mahmoud Dahoud,GER,MF,27,1996,5.0,0,6,1,16.7,1.19,0.2,0.0,0.0,26.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
ENG-Premier League,2023-24,Brighton,Mark O'Mahony,IRL,FW,18,2005,0.7,0,1,0,0.0,1.43,0.0,0.0,,16.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
