league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
ENG-Premier League,2025-26,Brentford,Sepp van den Berg,NED,DF,23-254,2001,3.0,2,1,2,0,0,2,3,66.7,1,5,4,1,2,4,28,1
ENG-Premier League,2025-26,Brentford,Thiago,BRA,FW,24-066,2001,3.0,3,1,1,1,1,0,2,0.0,2,0,0,0,0,3,9,0
ENG-Premier League,2025-26,Brentford,Yehor Yarmoliuk,UKR,MF,21-183,2004,2.9,7,5,2,5,0,4,6,66.7,2,10,1,9,2,9,6,0
ENG-Premier League,2025-26,Brighton,Bart Verbruggen,NED,GK,23-013,2002,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2025-26,Brighton,Brajan Gruda,GER,"FW,DF",21-092,2004,0.2,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
ENG-Premier League,2025-26,Brighton,Carlos Baleba,CMR,MF,21-240,2004,1.3,1,0,0,1,0,0,2,0.0,2,0,0,0,3,4,1,0
ENG-Premier League,2025-26,Brighton,Danny Welbeck,ENG,FW,34-278,1990,1.2,1,0,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0
ENG-Premier League,2025-26,Brighton,Diego Gómez,PAR,MF,22-157,2003,0.5,2,1,1,1,0,1,2,50.0,1,1,0,1,2,4,3,0
ENG-Premier League,2025-26,Brighton,Ferdi Kadioglu,TUR,"DF,FW",25-328,1999,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
ENG-Premier League,2025-26,Brighton,Georginio Rutter,FRA,FW,23-133,2002,0.8,1,1,0,0,1,0,0,,0,2,0,2,0,1,0,0
ENG-Premier League,2025-26,Brighton,Jack Hinshelwood,ENG,MF,20-142,2005,0.5,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
ENG-Premier League,2025-26,Brighton,James Milner,ENG,MF,39-239,1986,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2025-26,Brighton,Jan Paul van Hecke,NED,DF,25-084,2000,2.0,1,1,1,0,0,1,2,50.0,1,2,1,1,0,1,12,0
ENG-Premier League,2025-26,Brighton,Kaoru Mitoma,JPN,FW,28-103,1997,1.9,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,0,0
ENG-Premier League,2025-26,Brighton,Lewis Dunk,ENG,DF,33-283,1991,2.0,3,2,2,1,0,1,1,100.0,0,0,0,0,0,3,13,0
ENG-Premier League,2025-26,Brighton,Mats Wieffer,NED,DF,25-288,1999,1.9,12,6,6,3,3,6,7,85.7,1,3,0,3,2,14,11,0
ENG-Premier League,2025-26,Brighton,Matt O'Riley,DEN,MF,24-283,2000,2.0,4,2,2,2,0,2,4,50.0,2,4,1,3,0,4,2,0
ENG-Premier League,2025-26,Brighton,Maxim De Cuyper,BEL,DF,24-252,2000,1.7,3,1,1,1,1,1,2,50.0,1,2,0,2,1,4,7,0
ENG-Premier League,2025-26,Brighton,Yankuba Minteh,GAM,FW,21-040,2004,1.8,1,0,0,1,0,0,1,0.0,1,3,0,3,3,4,0,0
ENG-Premier League,2025-26,Brighton,Yasin Ayari,SWE,MF,21-329,2003,1.7,4,1,0,2,2,0,3,0.0,3,1,0,1,3,7,1,0
ENG-Premier League,2025-26,Burnley,Hannibal Mejbri,TUN,MF,22-222,2003,2.3,5,2,1,2,2,1,1,100.0,0,3,0,3,2,7,1,0
ENG-Premier League,2025-26,Burnley,Hjalmar Ekdal,SWE,DF,26-314,1998,2.9,4,2,3,1,0,1,3,33.3,2,2,1,1,2,6,24,0
ENG-Premier League,2025-26,Burnley,Jacob Bruun Larsen,DEN,"FW,MF",26-346,1998,2.0,1,1,1,0,0,0,0,,0,2,0,2,2,3,4,0
ENG-Premier League,2025-26,Burnley,Jaidon Anthony,ENG,"FW,MF",25-273,1999,2.9,3,2,0,1,2,1,1,100.0,0,9,2,7,2,5,1,0
ENG-Premier League,2025-26,Burnley,Joe Worrall,ENG,DF,28-233,1997,0.2,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,3,0
ENG-Premier League,2025-26,Burnley,Josh Cullen,IRL,MF,29-146,1996,3.0,6,3,3,3,0,1,6,16.7,5,3,3,0,3,9,8,0
ENG-Premier League,2025-26,Burnley,Josh Laurent,ENG,MF,30-117,1995,1.1,2,1,2,0,0,1,3,33.3,2,3,1,2,1,3,5,0
ENG-Premier League,2025-26,Burnley,Kyle Walker,ENG,DF,35-095,1990,3.0,4,2,4,0,0,3,5,60.0,2,4,0,4,2,6,13,0
ENG-Premier League,2025-26,Burnley,Lesley Ugochukwu,FRA,MF,21-158,2004,1.9,6,1,4,2,0,1,1,100.0,0,2,0,2,1,7,2,0
ENG-Premier League,2025-26,Burnley,Loum Tchaouna,FRA,"MF,FW",21-357,2003,0.6,2,1,1,1,0,1,2,50.0,1,1,0,1,0,2,0,0
ENG-Premier League,2025-26,Burnley,Lyle Foster,RSA,FW,24-362,2000,2.8,3,3,1,2,0,0,0,,0,1,1,0,0,3,2,0
ENG-Premier League,2025-26,Burnley,Marcus Edwards,ENG,FW,26-271,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2025-26,Burnley,Martin Dúbravka,SVK,GK,36-228,1989,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2025-26,Burnley,Maxime Estève,FRA,DF,23-097,2002,2.9,2,2,1,0,1,1,3,33.3,2,5,3,2,3,5,17,0
ENG-Premier League,2025-26,Burnley,Oliver Sonne,PER,"DF,FW",24-294,2000,1.2,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,3,0
ENG-Premier League,2025-26,Burnley,Quilindschy Hartman,NED,DF,23-290,2001,3.0,8,5,6,1,1,4,7,57.1,3,5,1,4,3,11,12,0
ENG-Premier League,2025-26,Burnley,Zian Flemming,NED,FW,27-030,1998,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
ENG-Premier League,2025-26,Chelsea,Andrey Santos,BRA,MF,21-120,2004,0.6,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,0,0
ENG-Premier League,2025-26,Chelsea,Cole Palmer,ENG,MF,23-117,2002,1.0,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0
ENG-Premier League,2025-26,Chelsea,Enzo Fernández,ARG,MF,24-226,2001,2.9,2,1,0,2,0,0,2,0.0,2,2,0,2,2,4,1,0
ENG-Premier League,2025-26,Chelsea,Estêvão Willian,BRA,FW,18-129,2007,2.0,3,2,1,2,0,1,3,33.3,2,1,0,1,0,3,2,0
